"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3472","Sort: Price (low to high) sorts product prices ascending","saucedemoProject","Tue Sep 09 16:28:21 IST 2025","passed","Tue Sep 09 16:28:24 IST 2025","","tests\saucedemoProject\spec\sort.spec.js","",""
"","6036","Smoke: site loads, title and login form are visible","saucedemoProject-webkit","Tue Sep 09 16:32:41 IST 2025","passed","Tue Sep 09 16:32:47 IST 2025","","tests\saucedemoProject\spec\smoke.spec.js","",""
"","5047","should add items to cart","saucedemoProject-chromium","Tue Sep 09 16:31:47 IST 2025","passed","Tue Sep 09 16:31:52 IST 2025","","tests\saucedemoProject\spec\cart.spec.js","",""
"","19024","should complete checkout flow","saucedemoProject-webkit","Tue Sep 09 16:32:29 IST 2025","passed","Tue Sep 09 16:32:48 IST 2025","","tests\saucedemoProject\spec\checkout.spec.js","",""
"","12238","Failed login with empty password","","Tue Sep 09 05:39:48 IST 2025","passed","Tue Sep 09 05:40:01 IST 2025","OrangeHRM Auth Tests","auth-corrected.test.js","",""
"","19799","Failed login with invalid username","","Tue Sep 09 05:38:51 IST 2025","passed","Tue Sep 09 05:39:11 IST 2025","OrangeHRM Auth Tests","auth-corrected.test.js","",""
"","13791","should complete checkout flow","saucedemoProject-firefox","Tue Sep 09 16:31:58 IST 2025","passed","Tue Sep 09 16:32:12 IST 2025","","tests\saucedemoProject\spec\checkout.spec.js","",""
"","17236","should add items to cart","saucedemoProject-firefox","Tue Sep 09 16:31:58 IST 2025","passed","Tue Sep 09 16:32:15 IST 2025","","tests\saucedemoProject\spec\cart.spec.js","",""
"","16150","Failed login with empty password","","Tue Sep 09 05:41:51 IST 2025","failed","Tue Sep 09 05:42:07 IST 2025","OrangeHRM Auth Tests","auth.test.js","",""
"","7835","should login successfully","saucedemoProject","Tue Sep 09 16:28:12 IST 2025","passed","Tue Sep 09 16:28:20 IST 2025","","tests\saucedemoProject\spec\login.spec.js","",""
"","10622","Forgot password link functionality","","Tue Sep 09 05:42:05 IST 2025","passed","Tue Sep 09 05:42:16 IST 2025","OrangeHRM Auth Tests","auth-corrected.test.js","",""
"","3014","Smoke: site loads, title and login form are visible","saucedemoProject-chromium","Tue Sep 09 16:31:52 IST 2025","passed","Tue Sep 09 16:31:55 IST 2025","","tests\saucedemoProject\spec\smoke.spec.js","",""
"","23233","should successfully log in with valid credentials","","Tue Sep 09 05:38:31 IST 2025","passed","Tue Sep 09 05:38:55 IST 2025","OrangeHRM Login Scenarios","login.test.js","",""
"","6529","Search for a product","","Tue Sep 09 06:01:41 IST 2025","passed","Tue Sep 09 06:01:48 IST 2025","Automation Exercise - Products Page Tests","products.test.js","",""
"","9028","Clear input fields","","Tue Sep 09 05:42:16 IST 2025","passed","Tue Sep 09 05:42:25 IST 2025","OrangeHRM Auth Tests","auth-corrected.test.js","",""
"","5834","should login successfully","saucedemoProject-chromium","Tue Sep 09 16:31:47 IST 2025","passed","Tue Sep 09 16:31:52 IST 2025","","tests\saucedemoProject\spec\login.spec.js","",""
"","11656","should login successfully","saucedemoProject-firefox","Tue Sep 09 16:31:59 IST 2025","passed","Tue Sep 09 16:32:11 IST 2025","","tests\saucedemoProject\spec\login.spec.js","",""
"","8308","Sort: Price (low to high) sorts product prices ascending","saucedemoProject-webkit","Tue Sep 09 16:32:45 IST 2025","passed","Tue Sep 09 16:32:53 IST 2025","","tests\saucedemoProject\spec\sort.spec.js","",""
"","18588","Failed login with invalid password","","Tue Sep 09 05:39:11 IST 2025","passed","Tue Sep 09 05:39:30 IST 2025","OrangeHRM Auth Tests","auth-corrected.test.js","",""
"","2459","Smoke: site loads, title and login form are visible","saucedemoProject","Tue Sep 09 16:28:21 IST 2025","passed","Tue Sep 09 16:28:23 IST 2025","","tests\saucedemoProject\spec\smoke.spec.js","",""
"","10008","Failed login with empty username","","Tue Sep 09 05:39:38 IST 2025","passed","Tue Sep 09 05:39:48 IST 2025","OrangeHRM Auth Tests","auth-corrected.test.js","",""
"","6614","should complete checkout flow","saucedemoProject-chromium","Tue Sep 09 16:31:47 IST 2025","passed","Tue Sep 09 16:31:53 IST 2025","","tests\saucedemoProject\spec\checkout.spec.js","",""
"","8943","Login page elements visibility","","Tue Sep 09 05:41:46 IST 2025","passed","Tue Sep 09 05:41:55 IST 2025","OrangeHRM Auth Tests","auth-corrected.test.js","",""
"","7722","should add items to cart","saucedemoProject","Tue Sep 09 16:28:12 IST 2025","passed","Tue Sep 09 16:28:20 IST 2025","","tests\saucedemoProject\spec\cart.spec.js","",""
"","15276","Failed login with invalid password","","Tue Sep 09 05:39:25 IST 2025","passed","Tue Sep 09 05:39:40 IST 2025","OrangeHRM Auth Tests","auth.test.js","",""
"","5708","Add first product to cart and go to cart","","Tue Sep 09 06:01:49 IST 2025","passed","Tue Sep 09 06:01:55 IST 2025","Automation Exercise - Products Page Tests","products.test.js","",""
"","8690","Input field placeholders","","Tue Sep 09 05:41:56 IST 2025","passed","Tue Sep 09 05:42:05 IST 2025","OrangeHRM Auth Tests","auth-corrected.test.js","",""
"","14942","should add items to cart","saucedemoProject-webkit","Tue Sep 09 16:32:27 IST 2025","passed","Tue Sep 09 16:32:42 IST 2025","","tests\saucedemoProject\spec\cart.spec.js","",""
"","26975","Successful login with valid credentials","","Tue Sep 09 05:38:24 IST 2025","passed","Tue Sep 09 05:38:51 IST 2025","OrangeHRM Auth Tests","auth.test.js","",""
"","8293","Smoke: site loads, title and login form are visible","saucedemoProject-firefox","Tue Sep 09 16:32:16 IST 2025","passed","Tue Sep 09 16:32:25 IST 2025","","tests\saucedemoProject\spec\smoke.spec.js","",""
"","11083","should login successfully","saucedemoProject-webkit","Tue Sep 09 16:32:29 IST 2025","passed","Tue Sep 09 16:32:40 IST 2025","","tests\saucedemoProject\spec\login.spec.js","",""
"","15700","Failed login with empty username","","Tue Sep 09 05:41:29 IST 2025","failed","Tue Sep 09 05:41:45 IST 2025","OrangeHRM Auth Tests","auth.test.js","",""
"","25676","Successful login with valid credentials","","Tue Sep 09 05:38:24 IST 2025","passed","Tue Sep 09 05:38:50 IST 2025","OrangeHRM Auth Tests","auth-corrected.test.js","",""
"","8418","should complete checkout flow","saucedemoProject","Tue Sep 09 16:28:12 IST 2025","passed","Tue Sep 09 16:28:21 IST 2025","","tests\saucedemoProject\spec\checkout.spec.js","",""
"","5718","Sort: Price (low to high) sorts product prices ascending","saucedemoProject-firefox","Tue Sep 09 16:32:17 IST 2025","passed","Tue Sep 09 16:32:22 IST 2025","","tests\saucedemoProject\spec\sort.spec.js","",""
"","3568","Sort: Price (low to high) sorts product prices ascending","saucedemoProject-chromium","Tue Sep 09 16:31:53 IST 2025","passed","Tue Sep 09 16:31:56 IST 2025","","tests\saucedemoProject\spec\sort.spec.js","",""
"","23473","Failed login with invalid username","","Tue Sep 09 05:38:53 IST 2025","passed","Tue Sep 09 05:39:16 IST 2025","OrangeHRM Auth Tests","auth.test.js","",""
